sampleId,expression_subtype
TCGA-05-4249,TRU
TCGA-05-4382,Proximal Inflammatory
TCGA-05-4384,TRU
TCGA-05-4389,Proximal Proliferative
TCGA-05-4390,Proximal Proliferative
TCGA-05-4395,Proximal Inflammatory
TCGA-05-4396,Proximal Proliferative
TCGA-05-4398,Proximal Inflammatory
TCGA-05-4402,TRU
TCGA-05-4403,TRU
TCGA-05-4405,TRU
TCGA-05-4410,TRU
TCGA-05-4415,Proximal Proliferative
TCGA-05-4417,Proximal Proliferative
TCGA-05-4418,Proximal Proliferative
TCGA-05-4420,Proximal Proliferative
TCGA-05-4422,Proximal Proliferative
TCGA-05-4424,TRU
TCGA-05-4425,Proximal Inflammatory
TCGA-05-4426,Proximal Inflammatory
TCGA-05-4430,TRU
TCGA-05-4432,Proximal Proliferative
TCGA-05-4433,TRU
TCGA-05-5420,Proximal Inflammatory
TCGA-05-5423,TRU
TCGA-05-5428,Proximal Inflammatory
TCGA-05-5429,Proximal Proliferative
TCGA-05-5715,TRU
TCGA-35-3615,Proximal Proliferative
TCGA-38-4626,TRU
TCGA-38-4627,Proximal Inflammatory
TCGA-38-4628,Proximal Inflammatory
TCGA-38-4631,Proximal Proliferative
TCGA-38-4632,Proximal Inflammatory
TCGA-38-6178,TRU
TCGA-44-2655,TRU
TCGA-44-2656,Proximal Inflammatory
TCGA-44-2657,TRU
TCGA-44-2659,TRU
TCGA-44-2661,TRU
TCGA-44-2662,Proximal Inflammatory
TCGA-44-2665,Proximal Inflammatory
TCGA-44-2666,TRU
TCGA-44-3396,Proximal Inflammatory
TCGA-44-3919,TRU
TCGA-44-4112,Proximal Inflammatory
TCGA-44-5645,TRU
TCGA-44-6145,Proximal Inflammatory
TCGA-44-6146,TRU
TCGA-44-6147,TRU
TCGA-44-6774,Proximal Inflammatory
TCGA-44-6775,Proximal Inflammatory
TCGA-44-6776,TRU
TCGA-44-6777,Proximal Inflammatory
TCGA-44-6779,Proximal Inflammatory
TCGA-44-7659,TRU
TCGA-44-7662,Proximal Inflammatory
TCGA-44-7670,Proximal Proliferative
TCGA-44-7671,Proximal Proliferative
TCGA-44-7672,Proximal Inflammatory
TCGA-49-4486,TRU
TCGA-49-4487,Proximal Inflammatory
TCGA-49-4488,Proximal Inflammatory
TCGA-49-4490,TRU
TCGA-49-4494,Proximal Proliferative
TCGA-49-4501,TRU
TCGA-49-4505,TRU
TCGA-49-4506,Proximal Proliferative
TCGA-49-4507,Proximal Inflammatory
TCGA-49-4510,TRU
TCGA-49-4512,TRU
TCGA-49-4514,Proximal Proliferative
TCGA-49-6742,Proximal Proliferative
TCGA-49-6744,TRU
TCGA-49-6745,Proximal Inflammatory
TCGA-49-6761,Proximal Inflammatory
TCGA-49-6767,Proximal Inflammatory
TCGA-50-5044,Proximal Inflammatory
TCGA-50-5049,Proximal Inflammatory
TCGA-50-5051,Proximal Proliferative
TCGA-50-5055,TRU
TCGA-50-5068,Proximal Inflammatory
TCGA-50-5072,Proximal Proliferative
TCGA-50-5931,Proximal Proliferative
TCGA-50-5932,Proximal Proliferative
TCGA-50-5933,Proximal Inflammatory
TCGA-50-5935,TRU
TCGA-50-5936,Proximal Proliferative
TCGA-50-5939,Proximal Inflammatory
TCGA-50-5941,Proximal Inflammatory
TCGA-50-5942,TRU
TCGA-50-5944,TRU
TCGA-50-6593,Proximal Inflammatory
TCGA-50-6595,Proximal Inflammatory
TCGA-50-6597,TRU
TCGA-50-6673,TRU
TCGA-50-7109,Proximal Proliferative
TCGA-53-7626,TRU
TCGA-53-7813,Proximal Proliferative
TCGA-55-1592,TRU
TCGA-55-1594,Proximal Proliferative
TCGA-55-1596,Proximal Proliferative
TCGA-55-6543,TRU
TCGA-55-6642,Proximal Proliferative
TCGA-55-6712,Proximal Inflammatory
TCGA-55-6970,Proximal Proliferative
TCGA-55-6971,Proximal Proliferative
TCGA-55-6972,Proximal Proliferative
TCGA-55-6978,Proximal Inflammatory
TCGA-55-6979,Proximal Inflammatory
